oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,63048515,2458384.985162947,58384.4851505,13.4683847,0.0110623324,0,zg,91.8824613,22.3575221,0.810000002,-0.0160000008,20180923485139,562,0xd,0x1,20.4200001,26.0946999,0.024249211,-0.0402883552,7.06348965e-06,30,1.14600003,1
562113100004843,63149855,2458385.9986659484,58385.4985532,13.5011101,0.0110907182,0,zg,91.8824572,22.3575297,0.683000028,0.00700000022,20180924498553,562,0xd,0x1,20.3999996,26.1526241,0.0235250965,-0.0605489016,6.65700418e-06,30,1.102,1
562113100004843,63250369,2458387.003904344,58386.5036921,13.5354671,0.011120867,0,zg,91.8824479,22.357535,1.08899999,0.0109999999,20180925503681,562,0xd,0x1,20.0699997,26.141634,0.0278731287,-0.0460807234,9.37493223e-06,30,1.08500004,1
562113100004843,63352416,2458388.0244799494,58387.5241667,13.4960499,0.0110863084,0,zg,91.8824547,22.357541,0.92900002,-0.0379999988,20180926524167,562,0xd,0x1,20.0200005,26.1503696,0.0286136903,-0.0393874012,9.75603598e-06,30,1.04999995,1
562113100004843,63445694,2458388.9573499006,58388.4569444,13.4955044,0.0110858325,0,zg,91.882446,22.3575259,0.59799999,0.0149999997,20180927456944,562,0xd,0x1,20.3099995,26.1420097,0.0255417507,-0.0662867278,7.94602602e-06,30,1.20799994,1
562113100004843,63544436,2458389.9448665217,58389.4443634,13.5841589,0.0111642266,32768,zg,91.8824557,22.3575327,0.981999993,-0.0399999991,20180928444329,562,0xd,0x1,19.5499992,25.7318249,0.0501615927,-0.0363393426,3.12176817e-05,30,1.25199997,1
562113100004843,63648343,2458390.9840432927,58390.4834375,13.5461712,0.0111303348,0,zg,91.8824404,22.3575298,0.647000015,-0.0350000001,20180929483414,562,0xd,0x1,20.2900009,26.1494045,0.0244083498,-0.0632850528,7.35211597e-06,30,1.10599995,1
562113100004843,64347817,2458397.9794631056,58397.4781713,13.5299625,0.011116012,0,zg,91.8824378,22.3575283,0.47299999,0.0120000001,20181006478125,562,0xd,0x1,21.4400005,26.1292248,0.019482784,-0.0778624862,4.56277348e-06,30,1.07599998,1
562113100004843,66845653,2458422.9600803694,58422.4565394,13.4967699,0.0110869361,0,zg,91.8824314,22.3575246,0.451000005,-0.00300000003,20181031456528,562,0xd,0x1,20.3099995,26.1634979,0.0242869034,-0.0770556629,7.346649e-06,30,1.03799999,1
562113100004843,66941276,2458423.916383288,58423.4127662,13.5307131,0.0111166742,0,zg,91.8824626,22.3575326,0.783999979,-0.00800000038,20181101412755,562,0xd,0x1,20.2600002,26.1498623,0.0327301323,-0.0528217182,1.27157891e-05,30,1.07299995,1
