time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
2500.6512057931313,0.9976331,0.0029075686,183339,1.0100263,0.9976331,0.0029075686,4096,0,292.43808,381.15158,815.58,884.87,0.99763453,0.99818563
2500.658150920431,1.0023416,0.0029075686,183340,1.014925,1.0023416,0.0029075686,4096,0,292.44006,381.14877,577.77,855.25,1.0004493,1.004454
2500.6650960477314,0.9980015,0.0029075686,183341,1.0106603,0.9980015,0.0029075686,4096,0,292.44006,381.14993,223.0,855.21,0.99822205,0.9990455
2500.672041174983,1.0031325,0.0029075686,183342,1.0159853,1.0031325,0.0029075686,4096,0,292.44177,381.14917,501.39,1006.94,1.0019836,1.0037338
2500.678986302186,0.995868,0.0029075686,183343,1.0087539,0.995868,0.0029075686,4096,0,292.44232,381.1516,527.8,804.41,0.9973203,0.9941442
2500.68593142939,1.0017092,0.0029075686,183344,1.0147954,1.0017092,0.0029075686,4096,0,292.4412,381.15134,521.23,754.69,1.0013417,1.0027318
2500.6928765565954,0.9983478,0.0029075686,183345,1.0115119,0.9983478,0.0029075686,4096,0,292.44104,381.15363,438.53,751.61,0.99935174,0.99706495
2500.6998216837997,0.99568915,0.0029075686,183346,1.0089368,0.99568915,0.0029075686,4096,0,292.44037,381.15363,733.08,786.23,0.9987389,0.9937733
2500.706766811005,1.0017523,0.0029075686,183347,1.0151966,1.0017523,0.0029075686,4096,0,292.44104,381.15295,473.83,788.64,1.0022968,1.0005277
2500.713711938136,1.0010145,0.0029075686,183348,1.0145614,1.0010145,0.0029075686,4096,0,292.43835,381.15305,261.85,786.95,1.0008041,1.0019977
2500.7206570652006,1.000044,0.0029075686,183349,1.0136864,1.000044,0.0029075686,4096,0,292.44037,381.15286,404.6,803.04,1.0016112,0.9994556
2500.7276021922653,0.997933,0.0029075686,183350,1.0116508,0.997933,0.0029075686,4096,0,292.44122,381.15164,391.44,788.91,0.99845237,0.9976425
2500.7345473193277,0.9988241,0.0029075686,183351,1.012654,0.9988241,0.0029075686,4096,0,292.44098,381.15668,468.5,842.3,0.99972516,0.999512
2500.7414924463906,0.998553,0.0029075686,183352,1.0124741,0.998553,0.0029075686,4096,0,292.43988,381.15332,455.48,523.8,0.99851835,0.99934703
2500.7484375734552,0.98401034,0.0029075686,183353,0.9978172,0.98401034,0.0029075686,4096,0,292.4405,381.15253,266.19,812.38,0.9864305,0.9827086
2500.7553827004276,0.96321625,0.0029075686,183354,0.9768128,0.96321625,0.0029075686,4096,0,292.43903,381.15692,411.74,835.31,0.9680369,0.96185154
2500.7623278273113,0.93162054,0.0029075686,183355,0.94484437,0.93162054,0.0029075686,4096,0,292.4417,381.16043,373.93,744.25,0.94203216,0.92803556
2500.7692729541964,0.89721715,0.0029075686,183356,0.9100177,0.89721715,0.0029075686,4096,0,292.44272,381.1649,570.11,862.45,0.91286373,0.8925567
2500.776218081079,0.8622581,0.0029075686,183357,0.8746169,0.8622581,0.0029075686,4096,0,292.44293,381.16632,407.05,846.31,0.8826603,0.8551983
2500.783163207965,0.82296354,0.0029075686,183358,0.834808,0.82296354,0.0029075686,4096,0,292.44403,381.16882,478.06,819.88,0.8484901,0.81388336
2500.790108334849,0.7855561,0.0029075686,183359,0.7969032,0.7855561,0.0029075686,4096,0,292.44394,381.1753,496.65,552.19,0.81936955,0.77416515
2500.797053461621,0.75528985,0.0029075686,183360,0.7662336,0.75528985,0.0029075686,4096,0,292.44342,381.17737,430.96,782.44,0.7917095,0.7420051
2500.803998588292,0.731748,0.0029075686,183361,0.74237776,0.731748,0.0029075686,4096,0,292.44406,381.18237,356.59,759.98,0.7738061,0.7160709
2500.8109437149606,0.7334287,0.0029075686,183362,0.7441043,0.7334287,0.0029075686,4096,0,292.445,381.1826,307.71,778.51,0.7723903,0.72116035
2500.8178888416314,0.7348025,0.0029075686,183363,0.7455139,0.7348025,0.0029075686,4096,0,292.4467,381.18253,643.65,859.48,0.7772808,0.7187985
2500.824833968302,0.77057374,0.0029075686,183364,0.7818173,0.77057374,0.0029075686,4096,0,292.44388,381.18005,138.2,736.82,0.8038636,0.7604971
2500.831779094971,0.79997444,0.0029075686,183365,0.8116522,0.79997444,0.0029075686,4096,0,292.44556,381.1763,201.35,784.76,0.8292282,0.79048854
2500.838724221516,0.8355632,0.0029075686,183366,0.84775954,0.8355632,0.0029075686,4096,0,292.44354,381.171,412.48,747.04,0.8586245,0.8280153
2500.845669347942,0.874311,0.0029075686,183367,0.88706565,0.874311,0.0029075686,4096,0,292.44238,381.1703,371.4,865.49,0.891449,0.86765844
2500.852614474366,0.9006818,0.0029075686,183368,0.91380715,0.9006818,0.0029075686,4096,0,292.44232,381.16623,785.13,672.61,0.91750574,0.8937757
2500.859559600792,0.9401076,0.0029075686,183369,0.95378625,0.9401076,0.0029075686,4096,0,292.43536,381.1637,306.4,877.94,0.94736713,0.93938804
2500.8665047272166,0.96551025,0.0029075686,183370,0.97952986,0.96551025,0.0029075686,4096,0,292.43878,381.16385,493.72,758.1,0.9706126,0.96314937
2500.873449853642,0.98878473,0.0029075686,183371,1.0031061,0.98878473,0.0029075686,6144,0,292.43872,381.1592,472.17,770.65,0.98979706,0.9881036
2500.8803949799294,0.9984542,0.0029075686,183372,1.0128723,0.9984542,0.0029075686,4096,0,292.43973,381.16217,418.97,777.19,0.99859923,0.9992377
2500.8873401060837,1.0001836,0.0029075686,183373,1.0145766,1.0001836,0.0029075686,4096,0,292.4397,381.15915,390.9,678.69,1.0004827,0.99961555
2500.8942852322393,1.0036734,0.0029075686,183374,1.0180598,1.0036734,0.0029075686,4096,0,292.43607,381.15912,368.21,715.62,1.0026097,1.0035392
2500.9012303583927,0.9942726,0.0029075686,183375,1.0084614,0.9942726,0.0029075686,4096,0,292.43854,381.16168,544.36,706.1,0.99668187,0.9937983
2500.908175484548,1.0001342,0.0029075686,183376,1.014337,1.0001342,0.0029075686,4096,0,292.4385,381.16187,481.29,795.71,1.0009539,1.0005294
2500.9151206107017,0.99631536,0.0029075686,183377,1.0103884,0.99631536,0.0029075686,4096,0,292.43857,381.1632,395.22,716.66,0.99831617,0.99426335
2500.922065736705,1.0026993,0.0029075686,183378,1.01678,1.0026993,0.0029075686,4096,0,292.4389,381.16125,117.19,761.35,1.0011247,1.0033481
